dms_origst,dms_destst,dms_mode,sctg2,trade_type,dist_band,tons_2017,tons_2018,tons_2019,tons_2020,tons_2021,tons_2022,tons_2023,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,tons_2050,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,value_2023,value_2025,value_2030,value_2035,value_2040,value_2045,value_2050,current_value_2018,current_value_2019,current_value_2020,current_value_2021,current_value_2022,tmiles_2017,tmiles_2018,tmiles_2019,tmiles_2020,tmiles_2021,tmiles_2022,tmiles_2023,tmiles_2025,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,tmiles_2050,tons_2023_low,tons_2025_low,tons_2030_low,tons_2035_low,tons_2040_low,tons_2045_low,tons_2050_low,tons_2023_high,tons_2025_high,tons_2030_high,tons_2035_high,tons_2040_high,tons_2045_high,tons_2050_high,value_2023_low,value_2025_low,value_2030_low,value_2035_low,value_2040_low,value_2045_low,value_2050_low,value_2023_high,value_2025_high,value_2030_high,value_2035_high,value_2040_high,value_2045_high,value_2050_high
48,40,1,1,1,3.0,49.939448,51.42316,52.551346,55.116654,54.392099,56.384895,59.596151,67.383988,82.054375,95.806867,114.099685,138.196417,161.569295,192.467804,198.186068,202.534119,212.420879,209.628425,217.30871,229.684961,259.699664,316.239863,369.237271,439.734142,532.600895,622.669734,192.309049,192.771055,185.449451,230.360676,294.257492,14.923125,15.366495,15.703624,16.470201,16.253686,16.849183,17.808784,20.135984,24.519859,28.629313,34.09555,41.296177,48.280292,59.000189,66.71015,81.233831,92.79112,108.127759,128.175224,146.577761,60.788728,69.536456,90.259811,97.723002,116.381684,140.960344,164.800678,227.388111,257.102667,313.077465,357.612708,416.715509,493.974888,564.886301,234.281174,267.994536,347.86385,376.622016,448.528825,543.252913,635.123128
48,48,1,1,1,0.0014925373134328358,1.2659321010351742e+23,1.3035451942735087e+23,1.3321492573580903e+23,1.3971638793029016e+23,1.378810747233049e+23,1.429316343972899e+23,1.5100819528857265e+23,1.6922923951790227e+23,2.0516273329421603e+23,2.446919414746585e+23,2.9596044538242452e+23,3.564035439127088e+23,4.2181046192404636e+23,388.024217,399.552508,408.318385,428.250562,422.620842,438.104661,462.852366,519.398346,629.297229,748.349218,904.240273,1087.15723,1281.310141,387.704159,388.635587,373.874885,464.418043,593.237053,7.221241,7.435787,7.598922,7.969865,7.865095,8.153253,8.614349,9.639729,11.685924,13.951042,16.879674,20.337691,24.103231,135.079555,151.372839,182.852803,218.084934,265.937753,317.162337,370.983713,141.41277,160.490602,203.169788,224.687242,271.738167,327.275153,387.335354,459.938252,516.299592,623.004258,740.865726,902.594575,1074.766662,1252.030389,481.293069,546.942566,692.226952,763.29264,922.163108,1108.900374,1306.936344
48,48,1,1,1,0.14925373134328357,4.5547790345147866e+24,4.690103287520135e+24,4.79299907823267e+24,5.026970896905158e+24,4.96088781184318e+24,5.142642916842325e+24,5.43525603410452e+24,6.399500963054373e+24,7.79513506681792e+24,9.187469161381055e+24,1.1068769208861198e+25,1.3323225199672022e+25,1.5571179734367733e+25,15444.111809,15902.960034,16251.858821,17045.197922,16821.124158,17437.410006,18429.89926,21731.614052,26478.743814,31201.317898,37592.195334,45250.062555,52863.193349,15431.372892,15468.445512,14880.941104,18484.733335,23611.978296,865.68801,891.407807,910.964611,955.433607,942.873613,977.418252,1033.030985,1216.006035,1481.157913,1745.820514,2103.313939,2531.749185,2959.210912,4844.552867,5704.028358,6947.500823,8188.432919,9820.943501,11610.273691,13319.241962,5044.419388,5984.917123,7719.445354,8436.56699,10164.10707,12234.302942,14298.530053,18246.823664,21515.806111,26213.956378,30889.304721,37049.510103,43800.966712,50227.715231,18999.624003,22571.532268,29126.618197,31825.344257,38344.039241,46155.063806,53920.457217
48,47,5,5,1,0.14776119402985075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119,0.000126,0.000132,0.000157,0.00017,8.2e-05,8.5e-05,8.7e-05,9e-05,9e-05,9.3e-05,9.4e-05,9.5e-05,9.8e-05,0.000102,0.000108,0.000116,0.000123,8.2e-05,8.3e-05,8.5e-05,8.6e-05,9e-05,9.5e-05,0.000101,8.4e-05,8.7e-05,9.5e-05,9.2e-05,9.8e-05,0.000105,0.000111,0.000134,0.000135,0.000139,0.00014,0.000147,0.000155,0.000164,0.000137,0.000142,0.000155,0.00015,0.00016,0.00017,0.000181
48,48,1,5,1,0.0014925373134328358,1.6458438130423157e+24,1.6916320051401082e+24,1.7446372599366514e+24,1.7924579020366985e+24,1.8023007721642897e+24,1.8555130145120987e+24,1.796102894560244e+24,1.9215409073577498e+24,2.0992251982446422e+24,2.2814455400154638e+24,2.472992259563361e+24,2.670204599522579e+24,2.8922281574570217e+24,6881.93321,7073.394582,7295.025302,7494.981786,7536.138056,7758.644314,7507.60168,8023.693883,8754.109341,9501.046749,10287.001136,11092.229278,11995.879606,6894.562123,7279.328636,7607.870161,9093.104182,9838.63692,59.451255,61.10524,63.019852,64.747225,65.102763,67.024937,64.95729,69.669723,76.096062,82.643306,89.524488,96.456264,104.279952,1607.167008,1713.712696,1878.535019,2026.839192,2173.420215,2327.870754,2506.418512,1657.603593,1798.667237,2078.841742,2094.97999,2270.871109,2451.966755,2655.84409,7461.746532,7947.889471,8701.130867,9375.259147,10041.824898,10740.640057,11546.17237,7696.621957,8343.502043,9629.520272,9691.067684,10492.741158,11314.073863,12235.797198
48,48,1,5,1,0.14925373134328357,2.0989551269206165e+24,2.1573500105848735e+24,2.224945110581692e+24,2.2859303231401065e+24,2.2984837877800824e+24,2.3663469877316788e+24,2.2507912785153585e+24,2.3015058401794756e+24,2.453763858444048e+24,2.617473364878832e+24,2.772755406922844e+24,2.9388995102577606e+24,3.1166942038479974e+24,7493.319171,7701.789833,7943.110065,8160.830539,8205.643105,8447.916654,8042.209043,8225.099424,8779.371926,9375.709471,9948.296327,10564.983811,11228.10474,7507.070028,7926.018919,8283.747835,9900.928966,10712.694296,378.474303,389.003792,401.192449,412.189125,414.452531,426.689337,405.65805,414.42817,441.547594,470.735773,498.353707,527.922707,559.502438,2014.102177,2051.990858,2194.785458,2321.742142,2430.760744,2552.725206,2687.26908,2077.129761,2154.100242,2429.937932,2403.544953,2546.135217,2698.700786,2861.963362,7993.371965,8145.186043,8722.16673,9238.751718,9689.700206,10197.358968,10759.903573,8243.836366,8551.185552,9657.309118,9563.223662,10147.262255,10776.283488,11452.666836
48,48,1,5,1,0.373134328358209,2.8765915462741327e+23,2.9566277489969872e+23,3.049260749942214e+23,3.1328453542504836e+23,3.150035379111879e+23,3.2430429399981644e+23,3.118139192228423e+23,3.340407224116182e+23,3.612766804623356e+23,3.905293175612945e+23,4.18234461190796e+23,4.432033886086687e+23,4.802684232816542e+23,1025.075995,1053.594503,1086.606786,1116.390654,1122.520952,1155.663647,1114.961081,1198.067068,1306.815506,1423.542969,1538.439327,1651.269691,1811.229221,1026.957094,1084.268738,1133.205573,1354.43378,1465.482188,81.75294,84.027378,86.660211,89.035565,89.524475,92.167703,88.526615,94.483963,102.263634,110.72128,118.674674,125.766166,136.667944,279.131136,297.960729,323.049783,346.741647,367.174796,385.91413,415.766641,287.307173,312.51058,357.769193,358.611022,384.052457,406.979104,441.01543,1108.444178,1186.703555,1297.878773,1403.626331,1500.030684,1596.818267,1741.056542,1141.666168,1245.242744,1437.497057,1452.013827,1569.20811,1684.295082,1847.453806
48,47,1,8,1,0.14776119402985075,2.5095088884116446e+21,2.552878990259958e+21,2.584420876656553e+21,2.9451751321421795e+21,2.9924879724855175e+21,3.201446893032299e+21,2.503594780669106e+21,2.4976806836916925e+21,2.6908747512646976e+21,2.8781486208873225e+21,3.0733140576744804e+21,3.35718496646617e+21,3.5247451652105757e+21,60943.0,61997.0,62763.0,71524.0,72673.0,77747.0,60800.0,60656.0,65348.0,69896.0,74635.0,81529.0,85598.0,4.13623,4.190565,4.839884,4.889566,5.486134,2.404143,2.445634,2.47528,2.822095,2.867037,3.066384,2.398768,2.393357,2.577207,2.756838,2.943516,3.216408,3.376705,2.222308,2.223979,2.374895,2.444755,2.544278,2.717851,2.795559,2.300572,2.338543,2.663937,2.642369,2.821295,3.082857,3.236498,3.91962,3.922567,4.188747,4.311963,4.487497,4.793639,4.930697,4.057659,4.12463,4.698546,4.660506,4.976089,5.437422,5.708407
48,48,1,8,1,0.0014925373134328358,5.90934432210539e+24,6.011325416318822e+24,6.084195805842523e+24,6.936662111922483e+24,7.047127828032852e+24,7.537120851532387e+24,6.483649360362424e+24,6.80521350150239e+24,7.514448525253643e+24,8.256462908717754e+24,9.06450517893728e+24,9.961728669905847e+24,1.0997982518828386e+25,13368.334177,13599.041272,13763.891468,15692.371542,15942.27324,17050.752808,14665.380085,15407.388119,17015.317828,18692.658398,20520.443865,22547.318722,24889.954922,13877.140274,14059.435148,16237.914113,16404.599162,18406.098241,115.436653,117.428827,118.852321,135.504905,137.662825,147.234637,126.552783,132.872558,146.757741,161.21465,176.973608,194.43405,214.616203,5740.160882,6041.557971,6616.39855,7138.374512,7690.479976,8308.853641,9013.22635,6037.676589,6400.175167,6948.344723,7576.839502,8318.29031,9147.546546,10099.105287,14424.065584,15196.707585,16646.01919,17951.256386,19335.735556,20884.847348,22653.394463,15163.672694,16087.465378,17480.578157,19056.298185,20919.4104,22998.265098,25387.754021
48,48,1,8,1,0.14925373134328357,3.5018319211615316e+24,3.562265162845612e+24,3.6054472490266226e+24,4.110611665197359e+24,4.1760737815044675e+24,4.4664395757361186e+24,3.788728168534541e+24,3.9441541204365346e+24,4.3443173552734844e+24,4.754999627299497e+24,5.199486352139777e+24,5.663002376025093e+24,6.202813000911864e+24,4680.347144,4761.119308,4818.834512,5494.008858,5581.501184,5969.587621,5098.476905,5338.62977,5894.320465,6467.610158,7090.633506,7747.467729,8514.177081,4858.483711,4922.306418,5685.007117,5743.364718,6444.10352,627.514012,638.343479,646.081601,736.605089,748.335563,800.367956,679.517364,707.574975,779.641325,853.519571,933.635176,1016.699599,1114.612135,3353.385018,3500.259828,3821.829118,4117.196582,4419.157512,4730.245013,5084.220157,3536.444015,3720.49692,3984.318666,4329.510101,4738.721107,5200.159802,5695.851332,5012.301774,5262.282633,5759.136025,6220.728757,6694.717938,7189.159561,7752.668262,5287.085863,5594.115358,6007.541276,6542.023948,7179.043628,7902.417086,8684.46062
48,48,1,8,1,0.373134328358209,1.039731287326782e+24,1.0576743747550627e+24,1.0704959332704064e+24,1.2204849495436857e+24,1.2399203382142976e+24,1.3261327274109975e+24,1.1182810907455964e+24,1.1551943361630187e+24,1.2680256573832287e+24,1.3818406790732834e+24,1.5065118357876828e+24,1.6382679735367705e+24,1.7943996630281178e+24,725.325563,737.843034,746.787311,851.420835,864.979746,925.122511,800.270937,843.478995,933.561559,1029.897305,1135.09926,1247.589275,1384.331722,752.93185,762.822621,881.02033,890.06416,998.659474,271.996468,276.690509,280.044606,319.282086,324.366669,346.920153,292.843563,302.335136,331.843885,361.526551,394.009764,428.308902,468.933385,989.805135,1025.196836,1115.679229,1194.944109,1278.834702,1367.481672,1471.667898,1042.311424,1086.362124,1145.953365,1268.21132,1382.652182,1504.371209,1647.742172,787.209806,832.121574,913.299756,989.354562,1069.901187,1155.845613,1259.987135,827.545822,881.537695,937.589427,1048.459734,1155.624805,1272.54106,1412.018354
48,47,5,9,1,0.14776119402985075,7.037662093406064e+20,6.722243229440103e+20,6.446251750757406e+20,6.564533797623924e+20,6.249114933990972e+20,5.677418175833786e+20,5.0466412423290506e+20,5.086068627279307e+20,5.835127607649966e+20,7.491076804363724e+20,9.974939643698002e+20,1.2656000093559293e+21,1.5396140827084797e+21,17091.0,16325.0,15655.0,15942.0,15176.0,13788.0,12256.0,12352.0,14171.0,18192.0,24224.0,30735.0,37389.0,2.115256,2.159064,2.319774,2.380657,2.368877,0.533435,0.510306,0.489548,0.497913,0.473722,0.430089,0.378804,0.380535,0.432979,0.552705,0.731328,0.923586,1.121273,0.447555,0.452102,0.514501,0.63411,0.82244,1.019179,1.216337,0.462675,0.472637,0.577574,0.688682,0.916524,1.16151,1.412945,1.51493,1.543261,1.799312,2.26091,2.975942,3.720224,4.46208,1.566299,1.613415,2.019883,2.455001,3.315744,4.239033,5.182396
48,48,1,9,1,0.0014925373134328358,2.2224831819528513e+22,2.126281640064086e+22,2.0397404100331743e+22,2.0746330151097423e+22,1.973700189183319e+22,1.791943100807549e+22,1.7791298172751033e+22,1.7272834474550665e+22,1.721763616801576e+22,1.6634123407250764e+22,1.7564590849533923e+22,1.8790763506335044e+22,2.0255465600831977e+22,573.663894,548.7916,526.467451,535.462814,509.44796,462.524517,497.285366,483.578348,483.235323,469.433945,491.475409,510.091111,537.26333,580.980994,593.013463,637.15407,653.876454,650.640954,0.794929,0.760464,0.72953,0.741994,0.705945,0.640923,0.615469,0.595271,0.590842,0.578891,0.609439,0.655851,0.709962,15.769965,15.351608,15.176259,14.433644,14.922857,15.672612,16.594645,16.483726,16.152064,16.696948,15.212516,16.081152,17.254273,18.60027,489.268163,477.003175,472.623298,452.356897,464.0344,472.93341,489.237415,512.825933,503.54964,509.050141,474.825205,497.473937,520.269089,548.008597
